time,uav_id,x,y,z,channel,conflict,is_nlos,energy,gcs_connected,traffic_type,pdr
5.0,0,33.46,184.05,46.28,1,0,0,87.6,1,video,1.0000
5.0,1,187.87,87.67,45.02,0,0,1,68.3,0,video,1.0000
5.0,2,131.74,67.87,43.07,0,0,0,67.4,0,control,1.0000
5.0,3,103.76,122.61,47.54,0,0,1,88.3,0,video,0.4583
5.0,4,130.01,223.60,42.68,1,0,0,94.3,1,video,1.0000
5.0,5,88.90,118.87,59.36,1,0,1,72.5,0,video,0.0000
5.0,6,95.23,248.41,55.93,0,0,0,89.2,1,video,1.0000
5.0,7,42.89,11.60,51.16,0,0,0,92.1,0,video,0.0000
5.0,8,134.82,272.82,44.91,2,0,0,64.7,1,video,0.8333
5.0,9,79.27,188.16,45.33,2,0,0,60.6,1,video,1.0000
10.0,0,26.70,170.63,46.28,0,0,0,87.5,1,video,0.0000
10.0,1,186.25,95.50,45.02,0,0,1,68.1,0,video,0.0000
10.0,2,146.40,81.49,43.07,0,0,0,67.3,0,control,0.0000
10.0,3,112.92,113.91,47.54,0,0,1,88.1,0,video,0.0000
10.0,4,155.22,234.51,42.68,0,0,0,94.1,0,video,0.0000
10.0,5,67.86,132.61,59.36,0,0,1,72.3,0,video,0.0000
10.0,6,112.68,248.94,55.93,1,0,0,89.0,1,video,0.0000
10.0,7,23.24,3.14,51.16,0,0,0,91.9,0,video,1.0000
10.0,8,122.86,297.46,44.91,2,0,0,64.6,1,video,0.0000
10.0,9,88.87,176.73,45.33,0,0,0,60.4,0,video,0.0000
15.0,0,0.69,186.70,46.28,1,0,0,87.3,1,video,1.0000
15.0,1,173.90,103.79,45.02,0,0,1,68.0,0,video,0.0417
15.0,2,158.77,81.25,43.07,0,0,0,67.1,0,control,1.0000
15.0,3,132.32,99.13,47.54,1,0,0,88.0,0,video,0.0000
15.0,4,178.35,243.66,42.68,1,0,0,94.0,0,video,0.0000
15.0,5,42.50,122.38,59.36,0,0,0,72.1,0,video,0.1250
15.0,6,118.87,263.49,55.93,0,0,0,88.9,1,video,1.0000
15.0,7,12.70,15.59,51.16,1,0,0,91.7,0,video,0.0000
15.0,8,139.38,286.23,44.91,2,0,0,64.4,1,video,0.0000
15.0,9,113.60,179.60,45.33,0,0,1,60.3,0,video,0.0000
20.0,0,9.91,184.27,46.28,0,0,0,87.1,1,video,1.0000
20.0,1,167.96,115.63,45.02,0,0,1,67.8,0,video,1.0000
20.0,2,163.71,58.67,43.07,1,0,1,67.0,0,control,0.0000
20.0,3,138.00,109.25,47.54,0,0,0,87.8,0,video,0.0000
20.0,4,195.11,245.34,42.68,0,0,1,93.8,1,video,1.0000
20.0,5,15.05,107.77,59.36,1,0,0,71.9,0,video,0.0000
20.0,6,120.40,282.36,55.93,1,0,0,88.7,1,video,0.5000
20.0,7,1.42,42.38,51.16,2,0,0,91.5,0,video,1.0000
20.0,8,118.25,264.49,44.91,2,0,0,64.3,1,video,0.0000
20.0,9,112.71,209.73,45.33,0,0,1,60.1,1,video,0.0833
25.0,0,2.94,170.94,46.28,0,0,0,86.9,1,video,0.0000
25.0,1,165.19,129.24,45.02,0,0,1,67.6,0,video,1.0000
25.0,2,160.99,43.64,43.07,1,0,1,66.8,0,control,0.0000
25.0,3,132.22,119.77,47.54,1,0,0,87.7,0,video,0.0000
25.0,4,194.23,223.95,42.68,0,0,0,93.6,0,video,0.0000
25.0,5,34.92,105.93,59.36,1,0,0,71.8,0,video,0.0000
25.0,6,142.19,298.48,55.93,2,0,0,88.6,1,video,0.0000
25.0,7,1.68,39.73,51.16,2,0,0,91.3,0,video,0.0000
25.0,8,86.44,270.43,44.91,1,0,0,64.1,1,video,0.0000
25.0,9,140.43,199.14,45.33,0,0,1,59.9,0,video,0.0000
