time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate,uav15_channel,uav15_power,uav15_rate,uav16_channel,uav16_power,uav16_rate,uav17_channel,uav17_power,uav17_rate,uav18_channel,uav18_power,uav18_rate,uav19_channel,uav19_power,uav19_rate,uav20_channel,uav20_power,uav20_rate,uav21_channel,uav21_power,uav21_rate,uav22_channel,uav22_power,uav22_rate,uav23_channel,uav23_power,uav23_rate,uav24_channel,uav24_power,uav24_rate,uav25_channel,uav25_power,uav25_rate,uav26_channel,uav26_power,uav26_rate,uav27_channel,uav27_power,uav27_rate,uav28_channel,uav28_power,uav28_rate,uav29_channel,uav29_power,uav29_rate
0.5,1,20.8099,5.59506,0,20.4137,5.79316,0,20.45,5.77498,0,20.0068,5.99662,0,20.694,5.65301,0,20.3286,5.83568,0,20.498,5.75099,0,20.3357,5.83217,0,20.275,5.86251,0,20.9676,5.51622,0,20.9037,5.54815,0,21.2311,5.38443,0,21.1718,5.41408,0,21.5638,5.21811,0,21.1625,5.41875,0,21.1097,5.44515,0,20.7728,5.61362,0,20.5244,5.73782,0,18.6963,6.65186,0,19.6619,6.16903,0,18.4651,6.76747,0,18.6738,6.66308,0,19.4072,6.29639,0,18.6396,6.68022,0,19.7623,6.11883,1,18.8247,6.58765,2,19.3024,6.34881,0,19.3024,6.34881,1,20.1823,5.90883,2,20.1823,5.90883
5.5,1,20.8376,5.58122,0,20.3865,5.80676,0,20.2099,5.89504,0,20.2779,5.86104,0,21.1455,5.42724,0,20.4911,5.75443,2,21.4232,5.2884,0,20.4169,5.79154,0,21.0609,5.46955,0,20.9823,5.50887,0,21.5558,5.22211,0,21.1928,5.40358,0,22.6424,4.67879,0,21.4717,5.26413,0,21.2406,5.37968,0,21.5137,5.24317,0,20.7269,5.63655,0,19.7987,6.10064,0,18.6235,6.68824,0,19.6357,6.18215,0,18.3487,6.82565,0,18.6738,6.66308,0,19.2547,6.37264,0,18.6396,6.68022,0,19.5429,6.22854,1,18.8247,6.58765,2,20.1226,5.93872,0,19.3024,6.34881,1,21.0634,5.46829,2,20.1823,5.90883
10.5,1,20.6796,5.66019,0,20.3255,5.83726,0,20.3643,5.81784,0,20.3235,5.83827,0,21.1928,5.40359,0,20.594,5.70301,0,21.1092,5.44541,0,20.0367,5.98164,0,20.6507,5.67463,0,20.6436,5.67821,0,21.0555,5.47225,2,20.8366,5.5817,0,21.3338,5.33311,0,21.587,5.20648,0,21.3376,5.33118,0,21.1865,5.40675,0,20.7393,5.63037,0,19.9468,6.02659,0,18.5409,6.72955,0,18.8769,6.56155,0,18.218,6.89099,0,18.6738,6.66308,0,19.1284,6.43582,0,18.6396,6.68022,0,19.364,6.31798,1,18.8247,6.58765,2,18.794,6.60301,0,19.3024,6.34881,1,19.5227,6.23867,2,20.1823,5.90883
15.5,1,20.4462,5.77688,0,20.1319,5.93404,0,20.159,5.92048,0,20.1806,5.9097,0,20.9273,5.53636,0,20.4845,5.75774,0,20.7101,5.64496,0,20.4795,5.76027,0,20.457,5.77148,0,21.0916,5.4542,0,21.0198,5.49011,2,21.3406,5.32969,0,21.9695,5.01527,0,21.6452,5.17741,0,21.2658,5.36712,0,21.2324,5.38379,0,20.7573,5.62137,0,19.2335,6.38324,0,18.6719,6.66404,0,18.8769,6.56155,0,18.4147,6.79265,0,18.6738,6.66308,0,19.3442,6.3279,0,18.6396,6.68022,0,19.608,6.19599,1,18.8247,6.58765,2,19.0345,6.48277,0,19.3024,6.34881,1,19.8236,6.08819,2,20.1823,5.90883
20.5,1,20.2845,5.85773,0,20.0104,5.99481,0,20.0147,5.99264,0,20.1036,5.94819,0,20.7346,5.63271,0,20.4381,5.78093,0,20.5231,5.73846,0,20.4554,5.77229,0,20.4167,5.79167,0,21.0864,5.45682,0,21.0221,5.48896,2,21.3454,5.32732,0,21.5021,5.24897,0,21.6756,5.16218,0,21.2634,5.3683,0,21.2577,5.37117,0,20.8086,5.59568,0,19.2278,6.38611,0,18.7791,6.61044,0,18.8769,6.56155,0,18.5548,6.72262,0,18.6738,6.66308,0,19.4947,6.25266,0,18.6396,6.68022,0,18.7099,6.64503,1,18.8247,6.58765,2,19.1475,6.42626,0,19.3024,6.34881,1,19.9773,6.01134,2,20.1823,5.90883
25.5,1,20.2021,5.89894,0,19.9397,6.03014,0,19.9381,6.03095,0,20.0498,5.97509,0,20.1103,5.94486,0,20.3985,5.80076,0,20.4338,5.78311,0,20.4267,5.78663,0,20.3445,5.82776,0,21.0686,5.46568,0,20.9707,5.51467,2,21.3378,5.33111,0,21.31,5.34501,0,21.668,5.16598,0,21.2639,5.36807,0,21.2405,5.37976,0,20.8574,5.57129,0,19.2233,6.38835,0,18.8479,6.57604,0,18.8769,6.56155,0,18.6368,6.68158,0,18.6738,6.66308,0,18.6309,6.68453,0,18.6396,6.68022,0,18.8141,6.59294,1,18.8247,6.58765,2,19.2739,6.36303,0,19.3024,6.34881,1,20.1363,5.93186,2,20.1823,5.90883
30.5,1,20.2034,5.89831,0,19.9342,6.0329,0,19.9372,6.0314,0,20.0421,5.97895,0,20.084,5.958,0,20.3897,5.80514,0,20.4201,5.78993,0,20.417,5.7915,0,20.3484,5.82581,0,21.0587,5.47064,0,20.9869,5.50656,2,21.3287,5.33563,0,21.2999,5.35005,0,21.6597,5.17016,0,21.2547,5.37265,0,21.2254,5.38731,0,20.8557,5.57216,0,19.2199,6.39005,0,18.8407,6.57963,0,18.8769,6.56155,0,18.631,6.6845,0,18.6738,6.66308,0,18.6197,6.69016,0,18.6396,6.68022,0,18.8051,6.59746,1,18.8247,6.58765,2,19.2705,6.36474,0,19.3024,6.34881,1,20.1426,5.9287,2,20.1823,5.90883
35.5,1,20.2032,5.89841,0,19.9277,6.03615,0,19.9335,6.03326,0,20.0334,5.98332,0,20.0617,5.96915,0,20.3803,5.80985,0,20.406,5.79702,0,20.4069,5.79657,0,20.3514,5.8243,0,21.0486,5.47569,0,20.9979,5.50106,2,21.3194,5.34031,0,21.292,5.35398,0,21.6514,5.1743,0,21.25,5.37501,0,21.2125,5.39373,0,20.857,5.57151,0,19.2174,6.39132,0,18.8385,6.58077,0,18.8769,6.56155,0,18.6299,6.68503,0,18.6738,6.66308,0,18.6138,6.69312,0,18.6396,6.68022,0,18.8004,6.5998,1,18.8247,6.58765,2,19.27,6.36501,0,19.3024,6.34881,1,20.1483,5.92584,2,20.1823,5.90883
40.5,1,20.2017,5.89915,0,19.9208,6.03958,0,19.9279,6.03607,0,20.0244,5.98779,0,20.0429,5.97856,0,20.371,5.81449,0,20.3922,5.80389,0,20.3971,5.80144,0,20.3534,5.82331,0,21.0391,5.48045,0,21.0046,5.4977,2,21.3105,5.34474,0,21.2859,5.35704,0,21.6437,5.17813,0,21.2485,5.37573,0,21.2019,5.39903,0,20.8604,5.56981,0,19.2155,6.39224,0,18.8398,6.58012,0,18.8769,6.56155,0,18.6323,6.68384,0,18.6738,6.66308,0,18.612,6.69401,0,18.6396,6.68022,0,18.7993,6.60036,1,18.8247,6.58765,2,19.2719,6.36406,0,19.3024,6.34881,1,20.1541,5.92296,2,20.1823,5.90883
45.5,1,20.1996,5.90022,0,19.9141,6.04293,0,19.9215,6.03923,0,20.016,5.992,0,20.0274,5.98631,0,20.3625,5.81876,0,20.3796,5.8102,0,20.3883,5.80586,0,20.3545,5.82273,0,21.0306,5.48471,0,21.0082,5.4959,2,21.3025,5.34873,0,21.2813,5.35937,0,21.637,5.18151,0,21.2492,5.37542,0,21.1934,5.4033,0,20.8647,5.56764,0,19.2142,6.39289,0,18.843,6.57848,0,18.8769,6.56155,0,18.6365,6.68173,0,18.6738,6.66308,0,18.6128,6.69362,0,18.6396,6.68022,0,18.8003,6.59985,1,18.8247,6.58765,2,19.275,6.36248,0,19.3024,6.34881,1,20.1594,5.92029,2,20.1823,5.90883
